sku,教研,迭代背景,迭代类型,迭代核心变化,迭代课时量,迭代前后课程大纲对比图,迭代课程上线时间,迭代开始时间,迭代结束时间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有声L2进阶课,@寇瑀恬(恬恬（Chippy)我爱小猫),接收到业务方反馈，进阶延期率高退费率高，攀登课程久未迭代，课程内容陈旧，且存在部分差评，L2 的核心卖点不清晰，学员没有动力继续学习，为了提升学员满意度，增加课程价值感，故而进行课程迭代设计,内容优化,"升级一：师资阵容，定义“职业”新标准
我们从“市场实战派主导”升级为 “国家级艺术高度+市场流量热度”双引擎驱动。
●核心教学（100%殿堂级配音导师主导）：前7周核心模块，全部由张震、小连杀等一线殿堂级导师亲授。示例传授代表行业天花板的“电影感”演播逻辑与艺术审美，实现专业能力的全面进化。

升级二：技能图谱，从“单科优秀”到“全能制作人”
为解决市场对复合型人才的渴求，我们一次性补齐20＋节高密度小课包，助力学员成为AI时代的“一人剧社”“超级个体”。

升级三：内容风口，直击当下最热门的赛道
课程内容不再局限于传统红海，而是紧密跟随市场付费热点。
内容扩容：在原有言情、社科等赛道基础上，新增【大女主】、【玄幻修仙】、【重生穿越】等蓝海爆款赛道的专项课程。
运营落地：强化“爆款打造”和“实操”模块，教授的不仅是技巧，更是让作品脱颖而出、持续变现的实战方法。
渠道拓宽：指导学员在喜马拉雅等多平台实现声音变现，并利用抖音、快手、小红书等自媒体平台扩大影响力，助力学员开辟多元副业路径。

升级四：实战进程，提速40%获得“第一桶经验”
我们拒绝纸上谈兵，将实战起点大幅提前，让你更快拿到市场反馈。
更密集的带练：直播课总次数从15次增加至18次，其中专门围绕剧社实战的直播指导增加了3次，每一步都有教练陪同。
更快的开局：剧社1V1实战指导从第5周提前至第3周。入学仅半个月，你就不再是“练习生”，而是带着真实任务进入“实习剧社”的准职业人，大幅领先于常规学习路径。
2026 内部版——L2课程产品手册（升级版）","1 录播课重新录制28节（大咖），占比80%；辅导官录播课6节，占比80%；作业指导5节，占比70%；导读课4节，占比50%；点评官直播8节，占比100%，大咖直播课3-4节，占比37-50%
2 新增4个选修小课包，共20节
3 直播课新增3次点评官剧社实战指导，从8节到11节",,4.27,2.11,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有声L3运营课（第二版迭代）,@苏婷,业务计划价格从1899涨价到2899，为了增加价值感，课时从5周延长至8周，提升每月运营课售课收益。,涨价迭代,"价格从1899➡️2899
从5周改为8周；课程全面升级！从 “做内容” 到 “冲高播放”，少走 90% 弯路🔥 
新增 7 大核心模块，直击有声账号起量痛点！
● 网文核心分类深度拆解
● 主播人设以及账号风格定位
● 运营策略与投流时机
● 专辑涨粉攻略
● 专辑制作的 AI 改编秘诀动作
● 平台类目拓展时机与相似度判断
● 专属运营策略及优秀案例拆解

新增3次陪跑服务：
【旗舰班】比【基础班】多了 3 周累计陪跑时长
【旗舰班】比【基础班】多了 7 节陪跑官小班辅导课
AI 有声运营课程-课程产品升级+价格调整说明V1关","1 新增 7 节大咖直播课，从9节到16节
2 新增7 节陪跑官小班辅导课",,2026/1/20,2026/11/1,第一期结营时间2026-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有声L3运营课V3（第三版迭代）,@苏婷,接收到业务反馈，1️⃣8周学习时长过程，对于L3学员来说学习负担重，营销复购转化率。2️⃣运营课开营周期较长，导致开营前退费率高，故希望缩短运营课开营周期。为实现多增加开课频率，运营课从纯直播向录播+直播优化，同时录播课可保障课程质量。,内容优化,"从8周时长改到6周
从16节直播课改为10节录播+6节直播","1 新增10节录播课
2 8节直播课内容做优化",预计下周出来,预计五一之后,2026/3/15,预计第一期结营2026/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
写作L2,@刘秋韵,"1、当前课程内容与短剧市场脱节。课程内容聚焦传统付费短剧模式，未覆盖2025年兴起的AI短剧、AI漫剧及下沉市场微短剧等新兴类型，教学案例较为陈旧。大咖讲师因内容滞后而回避深入讲解PPT内容，导致学员体验感不好。
2、课程节奏紧张，梯度跳跃较大。第三、四周难度骤升，学员难以消化知识点。
3、未对齐当下市场审稿要求，学员作品与市场需求脱节。当前学员写作行文仍用小说写法，仅格式转为剧本，写作方法不符合短剧模式，IP改编相关内容空白，现有教学内容无法支持学员产出达到一卡投稿要求
4、原创短剧与IP改底层逻辑不同，需明确优先级。
5、提示词工具实用性不足。签约学员普遍依赖陪跑官自研提示词，自行修改课程提供者方可产出合格剧本。
6、选题问题：原创题材切入视角不清，IP改编缺乏对版权库认知，且不知选书标准
7、免费短剧和付费短剧的写作逻辑不同，课程内容未做分层。",内容优化,"1 从5周正式课+3周陪跑改为8周完整课
2 从10节直播改为8节直播+8节录播
3 内容新增目前短剧市场接轨的课程改编及xxx","1 新增8节录播课
2 8节直播课内容迭代",预计本周出来,Q2,2026/3/1,2026/5/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短视频L1,@王敏婕 @杜帅锋(阿杜),"AI视频市场变化，过往课程教授内容难以适应市场需求。
再结合陪跑侧、班班侧的反馈：
1. 录播过时，XXX 功能已经下架
2. 课程排期太急，学员没时间做作业
3. 提示词过时，出不来效果
4. 学生不知道什么是商单，没有商单课程
5. 缺少系统性的提示词的学习
6. 陪跑官的课件和大咖的重复

由此综合得出课程迭代方向，助力学员打造出“能被记住的作品”。",内容优化,"本次课程改革采用两层结构：必修课 + 选修课

必修课作为主线，确保 L1L2 的进阶感与交付感：
- 1.技能提升（L1+L2 AI内容+工具+赛道等）：通过技能提升课确保学员每周都有明确作品产出
- 2.商单拆解（需求拆解、交付标准、报价、商单拆解等）：补齐需求理解、交付标准与基础商业认知
选修课承接热点玩法、工具更新、门槛较高或风险较大的内容，满足探索需求，但不作为主线考核，从而提升整体完成率与体验一致性。

最终实现：L1 跑通稳定产出，L2 聚焦可交付与商业表达，分层更清晰、差异更明显。","1. 新增1节先导录播课
2. 重制W1-W6共25节正片录播课
3. 新增8节手机录播课
4. 迭代8节直播课
5. 重制8节陪跑辅导课",,2026/2/6,2026/1/7,2026/3/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短视频L2,@王敏婕@杜帅锋(阿杜),内容优化,"1. 重制W9-W12约24节录播课+8直播课
2. 新增W13-W14 4节直播课
3. 迭代结营直播课
4. 重制6周6节陪跑辅导课",,2026/4/17,2026/3/13,2026/4/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短视频L3,@张昊然,业务还未确定是否迭代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
